CustomerName,Address,PhoneNumber,PostalCode
Customer Num1,"2577 Englewood Ave, New Jersey",8702767650,64416
Customer Num2,"1834 Flower St, Florida",7212737648,21531
Customer Num3,"2327 Montrose Ave, Arizona",7013821788,95184
Customer Num4,"1261 Winspear Ave, Washington",9024424213,32160
Customer Num5,"1915 Main St, Iowa",8876725429,60737
Customer Num6,"522 Montrose Ave, Delaware",7630133425,13324
Customer Num7,"2609 Englewood Ave, Iowa",8617690613,63914
Customer Num8,"243 Winspear Ave, Iowa",8026709695,71725
Customer Num9,"1902 Winspear Ave, Washington",9934146977,16204
Customer Num10,"1396 Merrimac St, California",9767707562,62594
Customer Num11,"1550 Montrose Ave, Boston",9411263566,93934
Customer Num12,"2585 University Ave, Arizona",8588902152,6726
Customer Num13,"1549 Englewood Ave, Iowa",7852253474,77995
Customer Num14,"2035 University Ave, Delaware",8793035505,34124
Customer Num15,"2792 Flower St, Delaware",7930221811,50688
Customer Num16,"1592 Main St, Virginia",7156927868,6778
Customer Num17,"832 Montrose Ave, Florida",9278112784,37198
Customer Num18,"2766 Main St, Delaware",8694013063,39118
Customer Num19,"1769 Merrimac St, Maryland",8166380994,78669
Customer Num20,"1299 Flower St, New York",8691355217,48355
Customer Num21,"2794 Montrose Ave, Florida",9428040859,71203
Customer Num22,"1640 University Ave, New Jersey",8309645514,83293
Customer Num23,"2814 University Ave, Washington",8868379356,54862
Customer Num24,"2118 Main St, Florida",8730134632,50019
Customer Num25,"152 Englewood Ave, New York",7458807977,22153
Customer Num26,"2330 University Ave, Florida",8704279473,91620
Customer Num27,"2740 Flower St, Delaware",7053736909,49948
Customer Num28,"1283 Main St, Iowa",7962402401,51206
Customer Num29,"587 Winspear Ave, Maryland",8566775876,22029
Customer Num30,"789 Main St, Iowa",9305811564,54691
Customer Num31,"554 Callodine St, New Jersey",8496140080,1314
Customer Num32,"1526 Montrose Ave, Arizona",7128098100,96762
Customer Num33,"982 Merrimac St, Boston",7028372995,42090
Customer Num34,"1515 Winspear Ave, Arizona",8555380138,76959
Customer Num35,"2709 Montrose Ave, California",8542330975,45145
Customer Num36,"1770 Flower St, Boston",7092841691,52651
Customer Num37,"1309 University Ave, Iowa",9104900567,76806
Customer Num38,"772 Flower St, Florida",8380652039,83854
Customer Num39,"2033 Winspear Ave, Washington",9829963303,37916
Customer Num40,"2763 Merrimac St, Maryland",7743845053,53581
Customer Num41,"589 University Ave, Arizona",9343707018,16136
Customer Num42,"2791 Flower St, Virginia",9368109667,23760
Customer Num43,"851 Englewood Ave, California",8818283284,99385
Customer Num44,"73 Montrose Ave, Arizona",9881196497,27442
Customer Num45,"1369 Englewood Ave, New Jersey",8989797883,3053
Customer Num46,"2825 Callodine St, New Jersey",9170848938,83308
Customer Num47,"10 Montrose Ave, Arizona",8093872931,70256
Customer Num48,"1486 University Ave, California",8906557376,91589
Customer Num49,"2359 Montrose Ave, Iowa",9989085188,82137
Customer Num50,"757 Merrimac St, Virginia",8395505693,60696
Customer Num51,"2346 Callodine St, Maryland",9893503282,3877
Customer Num52,"2701 Flower St, Delaware",8915093789,97534
Customer Num53,"1495 Englewood Ave, Virginia",9490935187,7264
Customer Num54,"2301 Englewood Ave, Virginia",9902746887,86529
Customer Num55,"1137 Merrimac St, Washington",7785108788,93415
Customer Num56,"1209 Main St, New Jersey",8900528399,66045
Customer Num57,"2082 Flower St, Virginia",9628636995,47923
Customer Num58,"2452 Merrimac St, Washington",9496343003,31781
Customer Num59,"2694 Main St, Maryland",7064384820,48776
Customer Num60,"60 Englewood Ave, California",7075676394,70363
Customer Num61,"904 University Ave, Boston",8846183811,39369
Customer Num62,"2670 Main St, Boston",9663367534,65654
Customer Num63,"2600 Callodine St, Maryland",8012565314,1685
Customer Num64,"1422 Main St, Washington",7740270947,78369
Customer Num65,"1235 Main St, New York",8134417989,99343
Customer Num66,"1331 Montrose Ave, Arizona",8312468893,56553
Customer Num67,"2292 Callodine St, Iowa",8613721276,77959
Customer Num68,"872 Flower St, Washington",7806008182,86749
Customer Num69,"2438 Montrose Ave, Washington",9587171784,70649
Customer Num70,"1874 Callodine St, Delaware",8054410146,11695
Customer Num71,"884 University Ave, New Jersey",7468103002,47959
Customer Num72,"455 Englewood Ave, New Jersey",8435098906,60817
Customer Num73,"2670 Montrose Ave, Delaware",7393185231,11518
Customer Num74,"1107 Winspear Ave, Florida",9144801223,36136
Customer Num75,"2383 Main St, California",8523790003,17390
Customer Num76,"2150 Merrimac St, New Jersey",9475508113,75469
Customer Num77,"311 Merrimac St, Washington",9295176860,8372
Customer Num78,"951 Callodine St, California",8874448523,47743
Customer Num79,"1815 Callodine St, Arizona",7389101529,86819
Customer Num80,"2110 Flower St, Maryland",9389436342,74238
Customer Num81,"977 Flower St, Arizona",8472451487,70705
Customer Num82,"1454 Englewood Ave, New Jersey",9309027825,26263
Customer Num83,"1205 Winspear Ave, California",8398214847,40745
Customer Num84,"2503 University Ave, Arizona",8885069322,74048
Customer Num85,"1304 Englewood Ave, New York",7339718200,97157
Customer Num86,"2349 Merrimac St, Delaware",9454229727,19383
Customer Num87,"2276 Main St, Washington",9650290092,90809
Customer Num88,"466 Callodine St, Delaware",9191564748,96637
Customer Num89,"402 Main St, California",9235134758,27877
Customer Num90,"818 Flower St, Washington",7380446645,96245
Customer Num91,"2745 Englewood Ave, New Jersey",8892332290,42944
Customer Num92,"132 Callodine St, Boston",9484033187,11839
Customer Num93,"2866 Flower St, Arizona",7262452337,64123
Customer Num94,"1508 Main St, Washington",9249750331,10729
Customer Num95,"1186 Main St, Washington",9457831940,50242
Customer Num96,"371 Callodine St, Maryland",8824910785,39629
Customer Num97,"333 Main St, Delaware",7194416667,91412
Customer Num98,"1860 University Ave, Virginia",7798645915,70258
Customer Num99,"1868 Winspear Ave, Virginia",9538760746,69266
Customer Num100,"2633 Main St, New Jersey",8663249925,53539
Customer Num101,"271 Main St, Iowa",8749251924,15456
Customer Num102,"2555 Englewood Ave, Maryland",7504813922,70778
Customer Num103,"522 Merrimac St, Virginia",8168752743,83721
Customer Num104,"1104 Flower St, California",7184747194,4954
Customer Num105,"1998 Callodine St, Delaware",7662911661,80446
Customer Num106,"2775 Montrose Ave, Delaware",8541337692,49021
Customer Num107,"345 Winspear Ave, Iowa",9058947214,47395
Customer Num108,"1469 Montrose Ave, New York",9134109011,41058
Customer Num109,"1740 Main St, Iowa",9151542017,44052
Customer Num110,"2939 Montrose Ave, Arizona",8103660561,46728
Customer Num111,"2822 Callodine St, California",8149339310,90816
Customer Num112,"1556 Main St, California",7229254852,8629
Customer Num113,"1128 Montrose Ave, New Jersey",8741822243,72878
Customer Num114,"575 Winspear Ave, Arizona",8556105002,36817
Customer Num115,"99 Montrose Ave, Arizona",8973661470,70534
Customer Num116,"1459 Merrimac St, New Jersey",9681602895,91345
Customer Num117,"2465 Englewood Ave, Florida",9012562023,47736
Customer Num118,"1839 University Ave, Virginia",9784965247,6176
Customer Num119,"2235 Englewood Ave, Arizona",9533653039,56094
Customer Num120,"1451 Main St, Delaware",8684917136,69066
Customer Num121,"224 Main St, Virginia",9259324778,8940
Customer Num122,"2046 Callodine St, New Jersey",7077502231,76427
Customer Num123,"2901 University Ave, Washington",8750047891,71467
Customer Num124,"422 Callodine St, Washington",9151295193,2448
Customer Num125,"2011 Montrose Ave, Maryland",7885527209,21777
Customer Num126,"355 Englewood Ave, Delaware",7621471762,12909
Customer Num127,"2243 Callodine St, Washington",7539380242,49741
Customer Num128,"2523 Winspear Ave, California",7078225150,63851
Customer Num129,"2915 Callodine St, New York",8369346770,86080
Customer Num130,"2098 University Ave, Iowa",9506821136,53036
Customer Num131,"1668 Englewood Ave, Arizona",7047085631,38177
Customer Num132,"422 Montrose Ave, New York",7669530576,23186
Customer Num133,"1470 Montrose Ave, Boston",7236022073,84512
Customer Num134,"2261 Montrose Ave, California",8197581239,73683
Customer Num135,"2159 Flower St, Arizona",9129945236,59306
Customer Num136,"2048 Montrose Ave, Virginia",7005454662,58369
Customer Num137,"1617 Flower St, Arizona",9131588040,48581
Customer Num138,"1294 Winspear Ave, New Jersey",9824214243,80130
Customer Num139,"64 Callodine St, Boston",7167559124,63540
Customer Num140,"491 Flower St, Washington",8511645864,97755
Customer Num141,"558 Merrimac St, Washington",7202707736,46272
Customer Num142,"1901 Englewood Ave, Florida",9890494029,34898
Customer Num143,"413 Callodine St, New York",8128582275,76379
Customer Num144,"2820 Winspear Ave, Florida",7691039939,64252
Customer Num145,"1627 Main St, Washington",7267497995,99922
Customer Num146,"1525 University Ave, Washington",7586149281,68242
Customer Num147,"2896 Montrose Ave, Florida",9383786827,83713
Customer Num148,"1074 Montrose Ave, Maryland",7763836108,12461
Customer Num149,"746 University Ave, New Jersey",8393933866,11403
Customer Num150,"209 Flower St, New Jersey",7103557658,86237
Customer Num151,"2389 Montrose Ave, New Jersey",7366678537,64554
Customer Num152,"325 Englewood Ave, California",8552360147,63321
Customer Num153,"1052 Montrose Ave, Boston",7343377128,91562
Customer Num154,"705 Englewood Ave, Iowa",9099565877,61290
Customer Num155,"542 Flower St, Boston",8882676013,94094
Customer Num156,"2408 Montrose Ave, Florida",9460825423,55209
Customer Num157,"2053 Winspear Ave, Boston",7169350537,33568
Customer Num158,"2280 University Ave, Delaware",7650212341,68499
Customer Num159,"452 Montrose Ave, Delaware",8873764738,84176
Customer Num160,"2122 Montrose Ave, California",9577885877,34735
Customer Num161,"2464 University Ave, Boston",7312716739,43195
Customer Num162,"2208 Montrose Ave, Boston",7095804035,59963
Customer Num163,"180 Main St, New Jersey",8740067130,35360
Customer Num164,"677 Flower St, Arizona",9281040468,81954
Customer Num165,"1700 Merrimac St, New York",8893101835,57295
Customer Num166,"1680 Montrose Ave, Delaware",7026167240,15989
Customer Num167,"699 Main St, Virginia",9034931793,57029
Customer Num168,"976 Callodine St, Delaware",7315200147,16085
Customer Num169,"1404 University Ave, Washington",9841639493,27538
